Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,argentinien,brasilien
algerien,belgien,china
angola,bosnien_und_herzegowina,hongkong
armenien,bulgarien,indien
aserbaidschan,chile,japan
äthiopien,dänemark,kanada
bangladesch,estland,kuba
belarus,finnland,neuseeland
georgien,frankreich,singapur
ghana,griechenland,südafrika
indonesien,irland,südkorea
irak,island,usa
iran,italien,
israel,kroatien,
kambodscha,lettland,
kasachstan,litauen,
kenia,luxemburg,
kolumbien,malta,
kongo,mazedonien,
libyen,montenegro,
malaysia,niederlande,
mali,norwegen,
mexiko,österreich,
mosambik,polen,
namibia,portugal,
nepal,rumänien,
niger,schweden,
nigeria,schweiz,
nordkorea,serbien,
pakistan,slowakei,
philippinen,slowenien,
ruanda,spanien,
saudi_arabien,tschechien,
senegal,ungarn,
somalia,vereinigtes_königreich,
sudan,zypern,
südsudan,,
syrien,,
tansania,,
thailand,,
türkei,,
uganda,,
ukraine,,
vietnam,,
