,negative_prob,positive_prob
schleuse,0.9493378888897712,0.010116785604680323
steuertricksereien,0.9456489973560678,0.06748406021494062
puren,0.9972796658143964,0.006435038519152301
beleidigungen,0.9839859881704522,0.032488130617482555
bankenrettung,0.9806259494473364,0.01160228625059437
beschämende,0.9893638057012412,0.02343134125370453
steuerflucht,0.9740947173918992,0.07764260996162793
gefängnisstrafen,0.9597658731511974,0.03290481617793179
schlachthöfen,0.9662979505324492,0.003643744951776111
schlampereien,0.990420729212583,0.006271551073299764
gegenständen,0.9382053011778532,0.03247381291980565
droge,0.9597967896902588,0.006784492441190986
parlamentswahl,0.97356924771344,0.017947887394820658
unterlassenen,0.9632371292927384,0.03580190128901736
beitragssatzsenkungen,0.958864187746999,0.06856894512849393
bestrafung,0.9563670274692542,0.07401180073236023
aufgerechnet,0.9595129269324656,0.05734922289766103
islamistisch,0.9541717609386634,0.04498867916249709
rettungspakete,0.9546329270826598,0.08347027130072625
plantagen,0.9651842858727312,0.008915049921606135
schwarzweißmalerei,0.9653889069188244,0.01896950277753887
tarifzwang,0.9500074388731236,0.02984944761213848
geschwiegen,0.9428899472420866,0.0843457822481933
privatpatienten,0.9550153682840624,0.017146994656887772
vorkommende,0.9365065789535556,0.05305286409988927
rentendiskussion,0.9388377746344606,0.02822198767746448
kabotage,0.9538533630773208,0.01868124572163759
winters,0.9635778540823768,0.033225318546638495
versklavung,0.9728515521341348,0.03891247388043846
spardiktat,0.9867796748819698,0.004773083564052671
mitunter,0.944886820007234,0.036006218257831464
bürgerkriegen,0.999999818461752,0.000903917218740451
wegbrechen,0.9710491991092104,0.06565453776356389
umweltschäden,0.986997109799093,0.009533742562404579
irakkriegs,0.9386215556541146,0.054837754677609936
inkompetenz,0.9931956630545892,0.006808077287369207
theaterdonner,0.9572572130418532,0.04040621522376412
tragödien,0.9949816489743808,0.007156541376774694
aceh,0.9391561565048316,0.05742511131176699
wanken,0.9467374939504076,0.03371850701482285
deindustrialisierung,0.95159179876871,0.0848250336099832
entzug,0.9843772254987808,0.01894822570635657
unfällen,0.9845408997393094,0.008100572020017184
mißwirtschaft,0.9858801758846084,0.029747638396144787
hingehören,0.9333496643670562,0.039825859094227985
epidemien,0.9999937007133683,0.003752302795899946
immunsystem,0.9399546065814148,0.02352700372440584
haushaltsrisiken,0.9725561910031804,0.0733352154858673
überalterung,0.9999953607897454,0.002151011403887496
unverschuldet,0.9999978037567824,0.0008159197588670392
fassbomben,0.9967287938458158,0.006312557030535267
heilbar,0.9314697055682942,0.1009075267480759
voreiligen,0.9820926177204226,0.027725617652567487
gerüchte,0.9855845665922944,0.007315396311247647
klinge,0.9373021057907192,0.04200534725997152
begangene,0.9785995611548702,0.01794530450435932
fehlinformationen,0.9432998812807221,0.1100026427345566
frauenhandel,0.994576247075229,0.005669398273625325
verstoßes,0.9963521222150384,0.006835445283905678
tibet,0.982679613747102,0.008846170642053038
minderjähriger,0.9440082822971464,0.03573347509817816
strafandrohung,0.9701453236383668,0.0137478197089009
cholera,0.9999927195762672,0.001405238468254507
schaufensterpolitik,0.9787747279403471,0.029144858633767
kostenexplosion,0.9999919069132726,0.003261073804964588
scheibchenweise,0.9999961550851332,0.002785188748983269
blödsinn,0.9647301039955741,0.07467541856251197
überdehnt,0.957557448711835,0.03637433813224416
suchtmittelmissbrauch,0.9461789419214284,0.02614485668646861
vergiftet,0.9953827706163024,0.01618616052727907
unterentwicklung,0.9972970897249592,0.0056112055336211535
standortschließungen,0.9811757680298652,0.01091174477605766
fundamentalismus,0.9755144867004708,0.03153419766004111
gewaltbereitschaft,0.9999924899061566,0.001583824112017592
misere,0.9566904077098186,0.052898057937705995
stellenkürzungen,0.9891915387565045,0.01011167765605409
bushaltestelle,0.9395750236767032,0.02663904326473951
herumzudoktern,0.9842503383529836,0.03305764496147183
uck,0.9827716048809786,0.013367389779523071
flinte,0.9323737317242472,0.017415968750090483
tortur,0.9826697588575326,0.01558000471634081
enron,0.9310915448709044,0.08725284147840784
rechtswidrigkeit,0.9911175360328024,0.005574692228720683
aufgebauscht,0.950246821189882,0.03231823636798624
finalen,0.9380732177209616,0.03591646424846374
tarifflucht,0.9999998301371325,0.0007449773879193071
orientierungslos,0.9999973611651388,0.0012814581268993151
rachen,0.9658926662437144,0.06017803466839015
krankheitserreger,0.970400317951184,0.01448260736924981
einzeltäter,0.9534741002490952,0.03634015658591841
sachgrund,0.9333099606497359,0.03451591897034593
zementieren,0.973961622795586,0.041994941743554316
veranlassten,0.9396651838772202,0.059659292318109264
ewiggestrigen,0.9716545838196292,0.0971714803020775
