,negative_prob,positive_prob
herausgegebenen,0.02605371231863614,0.9050146053253164
verstärktes,0.014925897581492563,0.9789744167373716
rationellen,0.03999879747496122,0.9260039304175124
maßgebliches,0.050817113484030174,0.8913115690013199
leitschnur,0.01736245365432663,0.9660312606013532
innovationstreiber,0.034907593597569134,0.9142893207632248
trauter,0.006559532248966416,0.9830020514953794
finanzsektors,0.0565827643848222,0.909995206394034
vereinheitlichung,0.04508616733252902,0.9591827888907936
vermögensverwaltung,0.028938184592288738,0.8866116717971989
hineinwachsen,0.06535524014640955,0.9355657181508088
weiterentwickeln,0.01935877854976507,0.9587178432508212
mbit,0.008081308841920185,0.9242843662407496
forschungsinfrastruktur,0.0029677098838554947,0.9914139702767087
neuregelung,0.137461254577618,0.8705288360205842
tierärztlichen,0.006470402988013808,0.9568510847732272
dotierung,0.02174252032873386,0.8956482398544376
gegebene,0.053868823322569835,0.9049333684682056
schulsports,0.018077648974851684,0.9656375586632264
winzerinnen,0.029937346940030012,0.8857744368150446
leistungsbereit,0.056298452081968674,0.9140666481953924
akademischen,0.03032226221532605,0.9094909822580428
haushaltsnahen,0.02093935519070821,0.929673045759871
aufklärung,0.1374400784232454,0.8704990569371
vifg,0.0020489855473631324,0.9751667218094676
uschi,0.01917680158590496,0.9509668590603808
eufreisetzungsrichtlinie,0.042431650189768536,0.8807351441366525
zusammensetzen,0.05195200788904683,0.930178961694656
angloamerikanischen,0.06080750075560006,0.9358866471233296
abgesteckt,0.07649723860432578,0.9388153882676102
zusammenrücken,0.04466019464701988,0.9078262558643904
verbilligt,0.061247705070681537,0.8889144301615463
ansprüche,0.13742681768596945,0.8705448159588968
initiatoren,0.041993163003820166,0.9472130681678378
mikrokrediten,0.06874570612822425,0.8928974917097798
kombiniert,0.0028112060286727357,0.9964983728177284
zusammenfinden,0.015644023271357256,0.989260941900019
weiterhin,0.006895241947024437,0.9481727219628492
verbesserter,0.01850092500489092,0.982733080801812
verkündung,0.059846086021086875,0.911267395447944
elementare,0.0800550293549868,0.8957495080523818
diesjährige,0.0024650740289055817,0.9766061634301059
konstituierung,0.015612032271795287,0.8967811336645971
petitionsrechts,0.008075190611356359,0.9871061849195284
forschungsprogramme,0.011352352763226695,0.9069900247220648
schaften,0.05498027581670555,0.9412515815495702
servicestelle,0.001332243625183419,0.9885694106958841
fraunhofer,0.005422477346265305,0.9734536280432692
kommunal,0.020624826947867214,0.8876227839073993
tugenden,0.0022150000489569487,0.9946294697279982
antrieb,0.03282909348336829,0.8704703519419013
westdeutscher,0.01717255854727167,0.9528289449607654
wohlbefinden,0.003791927696443133,0.9833071329433982
gestalterische,0.009967870616323996,0.9886789069518704
versöhnungskommissionen,0.01953025639695067,0.9615423670605121
gestärkte,0.050600227375894966,0.9179641255126038
niedrigschwellig,0.030764483552089,0.9681406521203756
selbstvertrauen,0.0006743730513939928,0.9999990822615028
zuverlässigkeit,0.0025864247992655053,0.9916248082740122
bauhaus,0.0002903218923066964,0.99707460059814
aufgestellten,0.026893131371978414,0.9390651168819222
tagesmütter,0.006406018715453272,0.9530728766024236
beschäftigungschancen,0.040272804219087424,0.9334856815197354
with,0.010730592611470408,0.9540768514667816
kernkompetenzen,0.003258794849195328,0.972492406571344
kostenneutral,0.037734264786576495,0.9471117152310894
lenin,0.07230708996988856,0.9190604236619812
anstoßen,0.005959670884775389,0.9952184688530792
zusicherung,0.009089630614617523,0.9743019954098088
schont,0.10820219588552532,0.8896392402453742
betätigen,0.04363113362445377,0.9525168589773476
no,0.03214770978925124,0.8794093811112742
kinderschutzes,0.014989987912263544,0.9814899709017579
künftigen,0.06305077126146191,0.8862015308538213
wirtschaftsnahe,0.14806950035519525,0.9000436874228078
heiligt,0.08571744527677784,0.9280730946238426
gedenkstunde,0.010654654728906351,0.963412003782268
qualitätsverbesserung,0.006312785190541609,0.9886757123695182
ullrich,0.033916614522886884,0.9361202482706056
by,0.009538085167686457,0.9386944519319698
stütze,0.059753437558645164,0.9121848770678264
klimafreundlicher,0.1191034903316665,0.8977981261023209
lissabonziel,0.01782565701974803,0.943815103050434
datenverarbeitung,0.01105040243311433,0.9758328079285992
klimaschonende,0.05643883430439847,0.8919248667454676
industrielles,0.046736194766028916,0.9158104114915177
handlungsansätze,0.05926929991313853,0.9066679071389809
hochschulpolitik,0.01365083190784722,0.8877794233056695
informativen,0.07278343383783117,0.9148064459137978
qualifizierungsangebote,0.05246902751429738,0.8767470904025492
erneuerung,0.08544681574115771,0.9455603167337696
anerkennung,0.1374276333360432,0.8705831813394961
kompatibilität,0.008345694595409974,0.9710091027340684
folgejahres,0.0718325803158935,0.8764097981243434
fortzubilden,0.04736419042256408,0.9134771304461896
demokratinnen,0.03335720844202085,0.9557535286173462
verkehrswende,0.0066906363922137726,0.9943109515475006
mietwohnung,0.005236838012669286,0.8953287047722921
führungsgremien,0.021315356228772443,0.9425643444741272
bildungsinfrastruktur,0.002890665820624581,0.957934144640432
heilung,0.13738625475536012,0.87056660892169
reservistenverband,0.012043950617111688,0.9053857634156262
diskussionswürdig,0.010558916141044048,0.9915476783196104
abrufen,0.0951609113041372,0.8845631755219562
wachstumschancen,0.029406771052736994,0.9530266303732948
rechtsposition,0.02306542077521314,0.8707857517130342
lokaler,0.045521771166632516,0.892478478870422
systematisierung,0.03474500521785008,0.9326387919455096
teilhabegerechtigkeit,0.024671518622958744,0.9669345653537268
ausgefüllt,0.06105123397655635,0.924702564250984
zusammenführung,0.02312191776070681,0.9716087402903192
ppp,0.006972553686026318,0.9807595081376403
kultureller,0.014729845037828954,0.9778534381328368
wasserrahmenrichtlinie,0.01796324352116729,0.9278156335936596
honorare,0.04496290509142118,0.8835296561471649
charles,0.009987647263330958,0.9761217957749782
fänden,0.037926073309301235,0.9682554836740472
impulsen,0.005645454711133575,0.9999844204254924
europaparlaments,0.05760355721967029,0.9112613400330991
stadtsanierung,0.008517143042003145,0.9221882340876218
flüchtlingshilfe,0.011598704493380137,0.9501427944501548
effizienzgewinne,0.01588648208095359,0.9721724429640464
umsatzsteuerbefreiung,0.011935487619145108,0.9350330016813306
restrukturierungsgesetz,0.004147851715154247,0.9243837345508498
europäisch,0.02892664627035818,0.9315964223049948
nachhaltigkeitsziele,0.004520667269267177,0.981175377476328
subventionen,0.137398910818995,0.8705233196907181
barrierefreie,0.0002731688953434836,0.9999888539389958
zukunftssicher,0.0028784283561650074,0.9971697107455679
verpackungsgesetz,0.02784424357130118,0.8890062698326229
reisefreiheit,0.01388112032286538,0.9806012906886166
tätiger,0.008963883553584628,0.9930461853713891
wohlfahrtsverbände,0.04194962304431769,0.9166832956667966
zügiger,0.0075020178624446215,0.990181498741591
pflichtaufgabe,0.011323154190766677,0.9322023166832264
mitarbeiterbeteiligungen,0.011575922188015958,0.9681369794809506
elektromobilität,0.026785297670193043,0.8868005932334974
kondition,0.026243406735261758,0.9291075176127792
vorbildhaft,0.0007557446799238143,0.9967693110428878
sozialwissenschaftliche,0.011274541829517272,0.9596190398743856
vermittlungsgutscheine,0.01480786109109668,0.9418870295814084
beworben,0.04873600067435406,0.8920100446238421
beeindruckenden,0.002419356462948441,0.9958677638265616
häuschen,0.0032770725045722033,0.8921165662218749
ideengeber,0.011068866649527291,0.9794724886169599
zukunftsorientiertes,0.015978894796734183,0.9657952738167976
servicequalität,0.02018276211577733,0.915957982315389
weitblick,0.0229541119840047,0.9617607470417026
vertretbarer,0.040036415925184,0.9723324395052764
finanzierungsmodelle,0.011800359887983274,0.901338721744966
solidarpakts,0.0790953304405305,0.8885061922718709
existenzgründerinnen,0.01998516397818,0.978507814128002
sporthilfe,0.00046825313976631486,0.9905409608776049
strikten,0.04574562176330162,0.9346713529061912
städtetourismus,0.01129364240873778,0.9457000313800954
flankieren,0.05801274635256549,0.9659169881616856
begleitenden,0.09909939543127418,0.8865905286774359
islamkonferenz,0.0014866237375172507,0.9874028517708092
zeitgemäße,0.0012674604726763867,0.9999872282590008
benchmarking,0.016504098767224664,0.9363622794939466
beeindruckender,0.004478571300784781,0.9941075252220036
gestaltungsräume,0.049885170561083256,0.924994723206802
glaube,0.13737669403178998,0.8704640812353183
verfüge,0.03602872638486045,0.9220745851394956
verfassungskonforme,0.009748958460372471,0.9873646295115676
neutralen,0.008417190977718541,0.9794498372687612
branchenübergreifend,0.033027691120112036,0.9032248991821991
hochqualifizierter,0.07551134096443468,0.8782706580456869
gewissensfreiheit,0.04870810214688905,0.8984484752347813
verfassungsgemäße,0.06795572285604802,0.9407498378161266
optimist,0.08142537282688463,0.8705346726945394
umfassendste,0.021406067898745718,0.9425010713922891
hiermit,0.016494423306122042,0.8835405691120332
winterspiele,0.0017146480668382936,0.993113580003492
eichinger,0.02442811331062819,0.9333755390067288
bi,0.0425371254330646,0.8931939941331389
entwicklungsprojekte,0.061766546028668275,0.8881974193635107
abwechslung,0.016779082892034437,0.9360931187301668
vereinfachung,0.13395890238213734,0.8918388977173045
gegenhalten,0.09662025400212457,0.8930557297271342
europäern,0.05103498503034972,0.9382370527393732
wirtschaftsunion,0.055299874044326534,0.882750888719713
diskutierende,0.04689345316249747,0.9141142567219708
wirtschaftspolitischen,0.04371926763222635,0.9130516328601812
privatgewerbliche,0.05224837667098504,0.8966895586924596
handelsbeziehungen,0.029471954996977568,0.9325566269268344
aufbauleistung,0.09042065212824668,0.8867645525184169
möglichkeit,0.13746784267363354,0.8705302523608449
kulturlandschaft,0.00563172425794029,0.9758109117004254
verkehrsinfrastrukturfinanzierung,0.007596475468751807,0.9797901823800858
aufzuteilen,0.05236957898895052,0.9401831224480296
übereinstimmender,0.04823090227752932,0.9394547459085414
versprechende,0.022188076567640682,0.9935038729551487
niederschwellige,0.05709744441081896,0.931799867687272
sachlichkeit,0.07567747861033125,0.8856923738425728
gesamtstaatlich,0.07102356766009736,0.8936461044298101
zivilgesellschaftliches,0.015822526304842162,0.9929645621075824
erfahrung,0.13744975543715124,0.8705597603609985
netzes,0.047797957292107535,0.9217470849135612
pflegezeit,0.006061515952188249,0.9594697384212612
evaluierungen,0.04208377724476568,0.9251787436503218
anschlusses,0.04135819039711052,0.8935811927219064
leistungsgerecht,0.07277792831409235,0.8927175426653057
tourismusstandorts,0.03733752399147673,0.9259639495564048
hochtechnologie,0.0008820477684178654,0.9919803114730626
auslandsbeziehungen,0.02131565326078684,0.93276811265239
konditionalität,0.050959422355491384,0.8796551871278098
hauptberichterstatterin,0.018696458642794785,0.8942530274775568
gemeinnütziger,0.017410212723362146,0.9562227159258856
grips,0.035918331851371874,0.9583577613363452
nutzungsentgeltverordnung,0.03546141874851071,0.9381096601083808
konzeptionellen,0.029702464340283424,0.9478376028680724
wirtschaftsstandorts,0.04642687687803768,0.95508754471833
jugendwerks,0.01865854458572837,0.9069516627229398
co2gebäudesanierungsprogramms,0.03654295230006527,0.9618719195228096
erfolge,0.13743709514556698,0.8705353188510648
partnerschaften,0.10275760560376423,0.8704994337004296
großmann,0.04119259230528561,0.9022458808131086
repräsentanz,0.009474885143326044,0.9670999255359936
konzeptionen,0.0070789826209671,0.9796574270517812
sonderbeauftragten,0.011472214095582807,0.9330698320000302
freude,0.13744266557425067,0.8705428531777141
sozialverträgliche,0.019664491619898472,0.9748229432714776
begabungen,0.0008221684680793054,0.9973204679989194
investitionsanreize,0.00692831561767485,0.99405895798538
pflichtbewusstsein,0.054977686108895536,0.9157725296029388
erfindergeist,0.005096323759134683,0.9912414705188664
pflegefachkräfte,0.028441267603216983,0.9291503827529888
eckpfeiler,0.06409301754113265,0.8705790693778988
weitsicht,0.017343207734790082,0.9864388586134032
bezahlbare,0.03238382990233429,0.9535295370094858
fortführen,0.06978920620474552,0.8912438472335387
ifoinstituts,0.06834632916647655,0.8824502972857451
integralen,0.005316305878458998,0.9727753538214441
manns,0.05315362184565218,0.912276210627982
stiftungszweck,0.004003984693314012,0.9370984470791204
jugendbegegnungen,0.0788305078934963,0.8712375279118342
umweltqualität,0.0419251601394566,0.9023448584842421
vereinbarung,0.13737190352509845,0.8704991910493416
pilotprojekten,0.022443312840795468,0.9396915998168764
leistungsorientierung,0.012319364919326036,0.9712554501397366
länderübergreifenden,0.1490954715417711,0.8967151242913283
privatwirtschaftliches,0.08171344744734754,0.9140333782806084
bürgergeldes,0.01934129243297299,0.9579971771799302
unbürokratisches,0.009855054323067255,0.9905083303690144
menschenwürde,0.13744060550646478,0.8705415276981158
verstetigt,0.07182520123755301,0.8939741870349102
konkurrenzfähigkeit,0.00027947539627130917,0.999997289069765
behindertenverbänden,0.07373616100116849,0.8707144006830794
triple,0.022878023343712733,0.8985439842809744
koalitionsvertrages,0.05776571443708131,0.9112074627335268
ausbildende,0.03905683052452648,0.8867009178858538
erweitertes,0.02364027359834397,0.9635298345989632
normalisierung,0.12901618786515587,0.9067717682316736
unmillenniumkampagne,0.00790724344279881,0.9129051770410952
biologischer,0.02700984154392137,0.957849485830152
weiterbeschäftigung,0.006556991775397228,0.9383646657485776
künstlersozialversicherung,0.000690443760991267,0.9999881155381112
offshorewindenergie,0.010582326854587636,0.9675915493404298
accra,0.03340478818515268,0.9358653530786439
hilfestellung,0.035211162488156256,0.9745606839659628
umlagefinanzierten,0.1281283830607045,0.8779476605763136
debattierende,0.09913792267377727,0.8904332731941922
tagungen,0.011684176550992844,0.9709955270348392
marktüberwachung,0.058806701913275625,0.8839872626496156
wachsamkeit,0.007635767648106946,0.9936372616537446
ideellen,0.003653276940562368,0.9940083667655748
investitionsbedingungen,0.03539167528928898,0.9186231828819792
gold,0.06515431588641553,0.8705335108604831
zusammenhalt,0.1374971345120777,0.8705171355180202
weitestgehend,0.022600520117470813,0.9127107784862258
weltgeltung,0.07415685102455441,0.8719581959357906
gewährleistung,0.034791227586320236,0.9483096019240412
befriedung,0.09831378470501984,0.9300471109205602
vorsorgend,0.05888496561026605,0.9125629510396328
hilsberg,0.048254221593344304,0.9206922633205932
ausfüllung,0.02900278791020365,0.9275658594997196
sozialökologischen,0.021064010628389432,0.9469704338302491
verankerte,0.030038702979116264,0.9030199363754936
bürgermeisterinnen,0.027438316756010342,0.8714636857882142
ruhe,0.13744340646632855,0.8705614423890878
finanzvolumen,0.011366979486378713,0.8878523469461165
menschenrechtsarbeit,0.006282507440298175,0.9821080015996014
energiebereitstellung,0.0690134031121637,0.8722931925521783
finanzmarktsteuer,0.01907359566936529,0.9443471646932088
endgeräten,0.03067699591569398,0.9381138754454156
board,0.001441731484192079,0.9775586989019028
schuldentragfähigkeit,0.005073506634492567,0.9733572853696024
selbstverteidigung,0.1374398573530274,0.8705510717815355
wesentliches,0.03982930818373125,0.9617081559867452
spezialisierte,0.002427134688912901,0.980972218746768
